Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,ВКонтакте,WhatsApp 1,WhatsApp 2,Viber,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
Грузинские Истории,ресторан счастливой кухни,Рестораны; Доставка еды,"улица Фатыха Амирхана, 31Б",,420103,37-й квартал,Ново-Савиновский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+03:00,5.0,6107,88432040200,,,gi.amirhana@atalar.group,,http://kazan.hh.ru/employer/10342452,http://gruzinskieistorii.ru,,https://vk.com/gruzinskie_istorii_kzn,https://wa.me/79061121401,,,https://t.me/gruzinykazan,,,55.828497,49.133034,https://2gis.com/firm/70000001085358069,branch
Грузинские Истории,ресторан счастливой кухни,Рестораны; Доставка еды,"улица Юлиуса Фучика, 88",1 этаж,420140,Азино-2 м-н,Советский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-23:00,+03:00,5.0,6523,88432051212,,,gi.fuchika@atalar.group,,http://kazan.hh.ru/employer/10342452,http://gruzinskieistorii.ru,,https://vk.com/gruzinskie_istorii_kzn,https://wa.me/79172333039,,,https://t.me/gruzinykazan,,,55.762386,49.232559,https://2gis.com/firm/70000001057557338,branch
Грузинские Истории,ресторан счастливой кухни,Рестораны; Доставка еды; Кафе,"улица Пушкина, 3",1 этаж,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-24:00,+03:00,4.9,12796,88432055550 (ресторан),,,gi.pushknina@atalar.group,,http://kazan.hh.ru/employer/10342452,http://gruzinskieistorii.ru,,https://vk.com/gruzinskie_istorii_kzn,https://wa.me/79874051505,,,https://t.me/gruzinykazan,,,55.786095,49.120068,https://2gis.com/firm/70000001041800929,branch
Грузинские каникулы,ресторан домашней кухни,Рестораны; Доставка еды,"проспект Победы, 141",1 этаж,420100,,Советский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.8,1524,89272433297,,,,,http://gruzinskie-kanikuli.ru,,,https://vk.com/gruzinskie_kanikuli,https://wa.me/79272433297,,,,,,55.780783,49.213495,https://2gis.com/firm/70000001045875293,branch
Гусь,ресторан,Рестораны,"Московская улица, 2",1 этаж,420202,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+03:00,3.7,7,89872260114 (доп.3),,,,,http://gusrest.ru,,,,https://wa.me/79872260114,,,,,,55.792883,49.10237,https://2gis.com/firm/70000001113947881,branch
Гусь,ресторан,Рестораны; Банкетные залы,"улица Шигабутдина Марджани, 10",1 этаж,420021,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-23:00,+03:00,4.6,816,88432260114,,,,,http://gusrest.ru,,,,https://wa.me/79872260114,,,,,,55.780582,49.117288,https://2gis.com/firm/70000001061243813,branch
Гусь,ресторан,Рестораны,"проспект Победы, 141",1 этаж,420100,,Советский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.4,453,89625567475,,,,,http://gusrest.ru,,,,https://wa.me/79625567475,,,,,,55.780688,49.213499,https://2gis.com/firm/70000001030562400,branch
Да Винчи,ресторан,Рестораны; Доставка еды,"Центральная улица, 1а",2-3 этаж,422522,Загородный клуб м-н,,,Зеленодольский район,Республика Татарстан,Россия,Пн: 12:00-22:00; Вт: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-22:00,+03:00,3.6,39,88432102727,,,,,,,,,,,,,,,55.862868,48.804616,https://2gis.com/firm/70000001017444267,branch
Давыл,банкетный ресторан,Рестораны; Кейтеринг; Доставка еды; Кафе; Банкетные залы,"улица Вишневского, 61",1 этаж,420043,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.7,321,89662508143,,,2508143@mail.ru,,,,,,https://wa.me/79662508143,,,https://t.me/davilkazan,,,55.780184,49.147611,https://2gis.com/firm/2956015536441265,branch
Дадиани,грузинский ресторан,Рестораны; Доставка еды,"Профсоюзная улица, 16",,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-23:00,+03:00,4.9,3649,89393061831 (служба доставки),88432051717 (служба бронирования),,dadiani@atalar.group,,http://dadiani.rest/,http://kazan.hh.ru/employer/10342452,,https://vk.com/dadiani.rest,,,,https://t.me/+79393061831,,,55.7921,49.114013,https://2gis.com/firm/70000001040475632,branch
Дача,ресторан,Рестораны; Банкетные залы,"улица Краснококшайская, 123",1 этаж,420032,,Кировский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.5,76,89274246377,,,,,http://voljskayagavanhotel.ru/restoran,,,https://vk.com/da4a_kzn,https://wa.me/79274246377,,,https://t.me/+79274246377,https://t.me/79274246377,,55.816424,49.064359,https://2gis.com/firm/70000001080858230,branch
Джаст Смо,ресторан,Рестораны; Кафе,"улица Карла Маркса, 39",цокольный этаж,420015,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 11:00-01:00; Вт: 11:00-01:00; Ср: 11:00-01:00; Чт: 11:00-01:00; Пт: 11:00-02:00; Сб: 14:00-02:00; Вс: 14:00-01:00,+03:00,4.6,224,88432253939,,,,,http://justsmo.2gis.biz,,,,,,,https://t.me/justsmo39,,,55.795989,49.128796,https://2gis.com/firm/70000001018390888,branch
Джузеппе,ресторан,Рестораны,"Кремлёвская улица, 15",2 этаж,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 12:00-22:00; Вт: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-22:00; Сб: 12:00-22:00; Вс: 12:00-22:00,+03:00,4.5,15,88001000063 (бесплатная единая справочная: круглосуточно),88432056934 (многоканальный),,,,http://giuseppe.ru,,,,,,,,,,55.794185,49.114699,https://2gis.com/firm/70000001065103573,branch
Дикий,банкетный зал,Рестораны; Банкетные залы; Аренда беседок; Кейтеринг,"Солнечная улица, 1е",территория экопарка Биосфера,422621,Тургай коттеджный пос.,,,Лаишевский район,Республика Татарстан,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.8,51,89151616116 (отдел продаж),,,,,http://dikii.rest/banquet,,,,,,,https://t.me/d_i_k_i_y_2,,,55.599296,49.428551,https://2gis.com/firm/70000001064632420,branch
Дом,ресторан,Рестораны; Банкетные залы; Кейтеринг,"Горьковское шоссе, 118а",,420004,,Кировский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,4.8,190,88432379797,,,,,http://domrestkzn.ru,,,https://vk.com/club86639882,https://wa.me/79047129797,,,https://t.me/+79047129797,,,55.838433,48.96365,https://2gis.com/firm/70000001026048222,branch
Древняя бухара,чайхана,Рестораны; Интересные здания,"улица Право-Булачная, 17",1 этаж,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-24:00,+03:00,4.5,553,88432921759,88432921779,,,,,,,,,,,,,,55.792944,49.107508,https://2gis.com/firm/70000001018488787,branch
Дублин,ирландский паб,Рестораны; Бары; Кафе,"улица Островского, 39",1 этаж,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-04:00; Сб: 12:00-04:00; Вс: 12:00-02:00,+03:00,4.9,905,88432926701,,,irishpubdublin@mail.ru,,http://irishpubkazan.ru,,,,https://wa.me/79375232323,,,https://t.me/DublinKznBot,,,55.786923,49.119465,https://2gis.com/firm/2956015536695670,branch
Дюран,караоке-ресторан,Рестораны; Банкетные залы; Бары; Караоке-залы; Ночные клубы,"улица Пушкина, 46",1 этаж,420015,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 17:00-03:00; Вт: 17:00-03:00; Ср: 17:00-03:00; Чт: 17:00-03:00; Пт: 17:00-04:00; Сб: 17:00-04:00; Вс: 17:00-03:00,+03:00,4.9,698,89585786807,,,info@duranrest.ru,,http://duranrest.ru,http://t.me/duran_rest,,https://vk.com/duran.rest,https://wa.me/79673777888,,,,,,55.793815,49.125275,https://2gis.com/firm/70000001062943589,branch
Жаровня,бар,Рестораны; Бары; Банкетные залы,"улица Пушкина, 8",1 этаж,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-23:00,+03:00,4.7,286,89395035858,,,,,http://zharovnya16.ru,,,,https://wa.me/79395035858,,,,,,55.788612,49.12429,https://2gis.com/firm/70000001086849331,branch
Зелёная гречка,кафе,Рестораны,"улица Шамиля Усманова, 1",2 этаж,420095,,Московский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+03:00,4.4,21,89872292404,,,grechkazel.rest@yandex.ru,,http://zel-grechka.ru/,http://zel-grechka.ru/restaurant/,,https://vk.com/club223160760,https://wa.me/79872292404,,,https://t.me/+79178881241,https://t.me/79178881241,,55.828346,49.079964,https://2gis.com/firm/70000001103662746,branch
Зелёная гречка,кафе,Рестораны,"Подлужная улица, 17",1 этаж,420015,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+03:00,4.9,102,89178881241,,,grechkazel.rest@yandex.ru,,http://zel-grechka.ru/,http://zel-grechka.ru/restaurant/,,https://vk.com/club223160760,https://wa.me/79178881241,,,https://t.me/+79178881241,https://t.me/79178881241,,55.800724,49.137878,https://2gis.com/firm/70000001094780097,branch
Золотой ключ,ресторан,Рестораны; Банкетные залы,"Туганлык, 13",1 этаж,420025,Азино-1 м-н,Советский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 10:00-02:00; Вт: 10:00-02:00; Ср: 10:00-02:00; Чт: 10:00-02:00; Пт: 10:00-02:00; Сб: 10:00-02:00; Вс: 11:00-02:00,+03:00,4.4,151,89600563713,,,,,,,,https://vk.com/zolotoklyuch,https://wa.me/79600563713,,,,,,55.794937,49.230446,https://2gis.com/firm/70000001045480521,branch
Ильмар-Сити,ресторан,Рестораны,"улица Карбышева, 76",,420087,,Приволжский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 07:00-10:00; Вт: 07:00-10:00; Ср: 07:00-10:00; Чт: 07:00-10:00; Пт: 07:00-10:00; Сб: 07:00-10:00; Вс: 07:00-10:00,+03:00,5.0,4,88432218080,89063221122,88432218070,,,http://www.ilmar-hotel.ru,,,,https://wa.me/79063221122,,,https://t.me/+79063221122,,,55.753355,49.17158,https://2gis.com/firm/70000001065105819,branch
Император,ресторанный комплекс,Рестораны; Кейтеринг; Бильярдные залы; Банкетные залы,"Октябрьская улица, 19а",центральный вход,422625,,,,Лаишевский район,Республика Татарстан,Россия,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.9,171,88432253344,,,,,http://t.me/imperatorkzn,,,,,,viber://chat/?number=79872253344,https://t.me/imperatorkzn,,,55.624149,49.142112,https://2gis.com/firm/70000001020602527,branch
Империал,культурно-развлекательный комплекс,Рестораны; Банкетные залы; Бильярдные залы; Кейтеринг; Доставка еды,"Гвардейская улица, 11а",,420073,,Советский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00 (ресторан: пн-вс 12:00-00:00; бильярд: пн-вс 14:00-00:00),+03:00,3.9,61,88432735228 (ресторан),88432735248 (бильярд),,,,http://www.krkimperial.ru,,,,,,,,,,55.789206,49.171862,https://2gis.com/firm/2956015536445162,branch
Истина,винный бар,Рестораны; Бары; Доставка еды,"улица Островского, 14",1 этаж,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-24:00,+03:00,4.7,167,89376253908,88432033908,,,,http://istinabar.ru,,,https://vk.com/istina_bar,https://wa.me/79376253908,,,https://t.me/istina_bar,https://t.me/chat_istina,,55.788926,49.114431,https://2gis.com/firm/70000001028765734,branch
Каба,ресторан,Рестораны; Банкетные залы,"улица Касаткина, 23",1 этаж,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.4,43,88432513355,,,restoran.kaba@yandex.ru,,,,,,,,,https://t.me/+79047143355,,,55.800961,49.122244,https://2gis.com/firm/70000001102353118,branch
Калейдоскоп,гастротеатр,Рестораны,"улица Туфана Миннуллина, 14",цокольный этаж,420107,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 17:00-22:00; Вт: 17:00-22:00; Ср: 17:00-22:00; Чт: 17:00-22:00; Пт: 17:00-22:00; Сб: 17:00-22:00; Вс: 17:00-22:00 (по предварительной записи),+03:00,5.0,85,89053703377,,,,,http://kaleidoscope.rest,,,https://vk.com/kaleidoscope.rest,https://wa.me/79625503072,,,https://t.me/kaleidoscope_rest,,,55.779345,49.136013,https://2gis.com/firm/70000001089632152,branch
Камчатка,ресторан,Рестораны,"Выставочная улица, 3",2 этаж,420017,,,,Лаишевский район,Республика Татарстан,Россия,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 07:00-22:00; Вс: 07:00-22:00,+03:00,4.4,72,88435129750,88435129700,,,,http://kazan.kravt-hotel.ru/restaraunts/kamchatka/,,,https://vk.com/kravtkazan,,,,https://t.me/kravtgroup_officialy,,,55.609516,49.302688,https://2gis.com/firm/70000001056359356,branch
Канпай,ресторан,Рестораны; Доставка еды,"улица Павлюхина, 57",2 этаж,420107,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.4,295,88435377699,,,,,http://t.me/kanpay_kazan,http://www.kanpay.ru,,https://vk.com/kanpaikazan,,,,,,,55.775089,49.137712,https://2gis.com/firm/2956015536509907,branch
Andreale,ресторан-сыроварня,Рестораны; Доставка еды; Банкетные залы; Кафе,"Вахитова проспект, 22а",2 этаж,423815,Новый Город м-н,Автозаводский район,Набережные Челны,Набережные Челны городской округ,Республика Татарстан,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-24:00,+03:00,4.8,1434,88552451545 (ресепшн),89656118318 (ресепшн),89625658010 (служба доставки),andreale@aa-group.ru,,http://syrovarnya-chelny.ru,http://aa-group.ru,,https://vk.com/syrovarnya_andreale,,,,https://t.me/+79656118318,,,55.747625,52.421798,https://2gis.com/firm/70000001047046409,branch
Boho,ресторан,Рестораны; Доставка еды; Кейтеринг,"30-й комплекс, 18",1 этаж,423815,Новый Город м-н,Автозаводский район,Набережные Челны,Набережные Челны городской округ,Республика Татарстан,Россия,Пн: 06:30-22:00; Вт: 06:30-22:00; Ср: 06:30-22:00; Чт: 06:30-22:00; Пт: 06:30-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.8,160,89196296901,,,info@bohorest.ru,,http://www.bohorest.ru,,,https://vk.com/bohoresto,https://wa.me/79196296901,,,https://t.me/Bohorest_bot,https://t.me/restoranboho,,55.744434,52.430019,https://2gis.com/firm/4081915443314901,branch
Chill out,рестоклуб,Рестораны; Доставка еды; Ночные клубы,"проспект Мира, 29",2 этаж,423603,,,Елабуга,Елабужский район,Республика Татарстан,Россия,Пн: 11:00-01:00; Вт: 11:00-01:00; Ср: 11:00-01:00; Чт: 11:00-01:00; Пт: 11:00-03:00; Сб: 11:00-03:00; Вс: 12:00-01:00 (служба доставки: пн-вс 11:00-22:00),+03:00,4.1,557,89393108112 (служба доставки),88555790112,,,,http://chillout.chillgroup16.com/contact/,,,https://vk.com/chillout_ethno_elabuga,,,,https://t.me/chillout_ethno_bar,,,55.752204,52.017068,https://2gis.com/firm/70000001035941048,branch
Cult Bar,,Рестораны; Бары; Доставка еды,"проспект Мира, 33Б",1 этаж,423812,Новый Город м-н,Центральный район,Набережные Челны,Набережные Челны городской округ,Республика Татарстан,Россия,Пн: 17:00-01:00; Вт: 17:00-01:00; Ср: 17:00-01:00; Чт: 17:00-01:00; Пт: 17:00-02:00; Сб: 17:00-02:00; Вс: 17:00-01:00,+03:00,5.0,148,89625557255,,,sibarit16@yandex.ru,,http://www.cult-bar.com/menu.pdf,,,,https://wa.me/79625557255,,,https://t.me/+79625557255,,,55.732839,52.397821,https://2gis.com/firm/70000001094575412,branch
Hot Pot,ресторан корейской кухни,Рестораны,"Корабельная улица, 33",,423578,35-й м-н,,Нижнекамск,Нижнекамский район,Республика Татарстан,Россия,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-22:00; Сб: 11:00-22:00; Вс: 11:00-22:00,+03:00,4.8,215,89027151469,,,,,http://t.me/hot_pot_nk,,,https://vk.com/hot_pot_nk,,,,https://t.me/hot_pot_nk,,,55.626845,51.791421,https://2gis.com/firm/70000001103852419,branch
Joy place,семейный ресторан,Рестораны,"Спортивная улица, 15",,423577,,,Нижнекамск,Нижнекамский район,Республика Татарстан,Россия,Вт: 12:00-19:00; Ср: 12:00-19:00; Чт: 12:00-19:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-19:00,+03:00,3.6,15,89870010333,,,,,,,,https://vk.com/id671546829,,,,,,,55.639292,51.834216,https://2gis.com/firm/70000001031086804,branch
Kinza,дом восточной еды,Рестораны; Кафе; Доставка еды; Банкетные залы,"41-й комплекс, 9Б",1 этаж,423832,Новый Город м-н,Центральный район,Набережные Челны,Набережные Челны городской округ,Республика Татарстан,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-23:00,+03:00,3.9,939,88552760147,89027180147,88552918090 (служба доставки),,,http://kinza-chelny.ru/?ysclid=m4qw63yz60206278616,,,https://vk.com/kinza_cafe760147,https://wa.me/79027180147,,viber://chat/?number=79027180147,https://t.me/+79027180147,,,55.731458,52.384995,https://2gis.com/firm/70000001025037565,branch
Koshki,рестобар,Рестораны; Доставка еды,"проспект Шинников, 41",2 этаж,423584,,,Нижнекамск,Нижнекамский район,Республика Татарстан,Россия,Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-24:00; Сб: 12:00-24:00,+03:00,1.0,2,89872249997,89872232997,,,,,,,https://vk.com/public144037244,,,,,,,55.654084,51.827937,https://2gis.com/firm/70000001102527020,branch
Mare Rest,ресторан средиземноморской кухни,Рестораны,"проспект Сююмбике, 40а",2 этаж,423823,Новый Город м-н,Центральный район,Набережные Челны,Набережные Челны городской округ,Республика Татарстан,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-01:00; Сб: 10:00-01:00; Вс: 10:00-24:00,+03:00,4.6,286,88552780852,89274875252,,,,,,,https://vk.com/marerest,https://wa.me/79274875252,,,,,,55.752315,52.409969,https://2gis.com/firm/70000001098703839,branch
Mokka,рестобар,Рестораны,"улица Рифката Гайнуллина, 1",3 этаж,423585,,,Нижнекамск,Нижнекамский район,Республика Татарстан,Россия,Пн: 15:00-01:00; Вт: 15:00-01:00; Ср: 15:00-01:00; Чт: 15:00-01:00; Пт: 15:00-03:00; Сб: 15:00-03:00; Вс: 15:00-01:00,+03:00,4.2,199,89178675517,,,,,http://mokka-restobar.ru,,,,https://wa.me/79178675517,,,,,,55.62185,51.785289,https://2gis.com/firm/70000001042814940,branch
My joy,рестобар,Рестораны; Бары,"Вахитова проспект, 22Б",,423815,Новый Город м-н,Автозаводский район,Набережные Челны,Набережные Челны городской округ,Республика Татарстан,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-02:00; Сб: 12:00-02:00; Вс: 12:00-24:00,+03:00,4.2,50,89276728135,,,,,http://t.me/my_joy_bar,,,https://vk.com/club231869397,https://wa.me/79276728135,,,https://t.me/+79276728135,https://t.me/my_joy_bar,,55.747435,52.422122,https://2gis.com/firm/70000001102448415,branch
Ramada,ресторан,Рестораны; Доставка еды; Банкетные залы,"Казанская улица, 4а",1 этаж,423603,,,Елабуга,Елабужский район,Республика Татарстан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.8,29,89297224760,,,,,http://ramada-alabuga.com/restoran-i-bar/restoran,,,https://vk.com/id526382605,https://wa.me/79297224760,,,,,,55.756881,52.04378,https://2gis.com/firm/70000001067894012,branch
SEAZONE,семейный ресторан,Рестораны; Бары; Банкетные залы,"проспект Мира, 49а",3 этаж,423809,Новый Город м-н,Центральный район,Набережные Челны,Набережные Челны городской округ,Республика Татарстан,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-24:00,+03:00,4.8,1246,89586252808,88552231717,,seazone_rest@mail.ru,,,,,https://vk.com/seazone.rest,https://wa.me/79586252808,,,https://t.me/seazone_rest,,,55.739914,52.405906,https://2gis.com/firm/70000001054522052,branch
Terra park,ресторан,Рестораны; Банкетные залы; Доставка еды,"проспект Хасана Туфана, 62в",,423831,Новый Город м-н,Центральный район,Набережные Челны,Набережные Челны городской округ,Республика Татарстан,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00 (по предварительному звонку),+03:00,4.8,1327,89172936662,89375802736,,,,http://terra-park.tilda.ws,,,https://vk.com/terra_park,https://wa.me/79047674844,,,,,,55.74692,52.379424,https://2gis.com/firm/70000001051568360,branch
The BIRD rest & club,ресторан,Рестораны; Караоке-залы; Бары; Ночные клубы; Кафе,"Набережночелнинский проспект, 62",4 этаж,423822,,Комсомольский район,Набережные Челны,Набережные Челны городской округ,Республика Татарстан,Россия,Пн: 11:00-01:00; Вт: 11:00-01:00; Ср: 11:00-01:00; Чт: 11:00-01:00; Пт: 11:00-03:00; Сб: 11:00-03:00; Вс: 11:00-01:00,+03:00,4.7,992,88552780005,89274333263,,,,http://chillgroup16.com,,,https://vk.com/bird_restclub,https://wa.me/79274333263,,,,,,55.717085,52.371029,https://2gis.com/firm/70000001064924842,branch
Varis,ресторан,Рестораны; Банкетные залы,"улица Гагарина, 7в",,423579,,,Нижнекамск,Нижнекамский район,Республика Татарстан,Россия,Пн: 11:00-18:00; Вт: 11:00-18:00; Ср: 11:00-18:00; Чт: 11:00-18:00; Пт: 11:00-18:00,+03:00,4.2,19,88555395050,88555395030,89196453555,,,,,,https://vk.com/restaurant_varis,https://wa.me/79196453555,,,,,,55.642833,51.837759,https://2gis.com/firm/4081915443484019,branch
YESLEE,кофейня,Рестораны,"проспект Мира, 16Б",1 этаж,423814,Новый Город м-н,Центральный район,Набережные Челны,Набережные Челны городской округ,Республика Татарстан,Россия,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.9,120,89963373777,,,,,http://yes-lee.ru,,,https://vk.com/yeslee_rest,,,,,,,55.725834,52.388654,https://2gis.com/firm/70000001102367008,branch
Абшерон,ресторан,Рестораны,"Вокзальная улица, 39Б",,423587,,,Нижнекамск,Нижнекамский район,Республика Татарстан,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-24:00,+03:00,3.6,29,89870009977,,,,,,,,https://vk.com/absheronnk,https://wa.me/79870009977,,,,,,55.612922,51.789322,https://2gis.com/firm/70000001019290201,branch
